id_prestamo;fecha_prestamo;fecha_vencimiento;fecha_devolucion;categoria;tipo_usuario;estado_prestamo;canal_prestamo;isbn;renovaciones;autor;sede_biblioteca;nombre_usuario;observaciones;titulo_libro;id_libro;id_bibliotecario;multa_crc;id_usuario;nr_errores;descripcion_error;campos_error;codigos_error
PRE0000018;2025-02-21;2025-03-21;2025-03-29;Ciencias;N/A;;Autoservicio;5790507236887;3;L. Rodríguez;Humanidades;Roberto Mora Navarro;;Visualización de Datos Vol. 3;LB00178;BIB0006;2000.0;USR004915;1;estado_prestamo vacío;estado_prestamo;ESTADO
PRE0000029;;2025-01-08;2025-01-16;Economía;Estudiante;Devuelto;En línea;2547807740649;0;R. Kimball;Humanidades;Laura Blanco Campos;Renovado una vez;Sistemas de Información Vol. 1;LB00318;BIB0024;2000.0;USR003389;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0000031;2023-11-13;2023-12-11;;Sociología;Estudiante;En préstamo;Autoservicio;NULL;0;C. Vargas;Humanidades;Mariana Sánchez Herrera;Renovado una vez;Derecho de la Información Vol. 2;LB00093;BIB0023;0.0;USR002419;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000040;2025-11-02;2025-11-09;2025-11-10;Arte;Estudiante;Devuelto;En línea;000X;3;S. Atre;Pacífico;Julio Valverde Araya;Préstamo interbibliotecario;Modelado Dimensional Vol. 2;LB00308;BIB0024;250.0;USR001611;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000055;2025-07-20;;;Ciencias;Estudiante;En préstamo;Autoservicio;9666676008350;0;C. Inmon;Pacífico;Lucía Herrera Gómez;Usuario reporta portada dañada;Programación en Python Vol. 4;LB00243;BIB0032;;USR003871;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0000062;2026-02-11;2026-02-25;2026-02-20;Literatura;Estudiante;Devuelto;En línea;;1;S. Gómez;Ciencias Sociales;Mariana Quesada Aguilar;Revisión pendiente;Programación en Python Vol. 1;LB00051;BIB0009;0.0;USR003492;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0000065;;2024-04-29;;Matemática;Docente;En préstamo;Mostrador;8171752421495;1;L. Rodríguez;Central;Gabriela Jiménez Alvarado;Entrega con atraso;Aprendizaje Automático Vol. 1;LB00657;BIB0004;0.0;USR000154;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0000083;2024-07-26;2024-08-09;2024-08-20;Historia;Estudiante;Devuelto;En línea;2447315847768;0;J. Caserta;Ciencias Sociales;;Revisión pendiente;Minería de Datos Vol. 2;LB00680;BIB0037;2750.0;USR002483;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0000152;2023-12-01;2023-12-15;2023-12-18;Sociología;Estudiante;Devuelto;App móvil;1966395517208;0;C. Vargas;Humanidades;Daniela Chaves Aguilar;Usuario reporta portada dañada;Teoría de la Información Vol. 3;LB00682;BIB0032;750.0;??;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0000160;2024-01-16;2024-01-30;;Arte;Estudiante;Atrasado;Mostrador;;0;A. Solís;Ciencias Sociales;Javier Jiménez Navarro;Renovado una vez;Minería de Datos Vol. 3;LB00335;BIB0022;193750.0;USR001660;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0000164;2023-11-13;2023-11-20;;Tecnología;Estudiante;En préstamo;En línea;;1;C. Inmon;Atlántico;Lucía Vega Gómez;Entrega con atraso;Modelado Dimensional Vol. 2;LB00704;BIB0031;0.0;USR001483;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0000167;2025-09-30;2025-10-28;2025-10-23;Derecho;Funcionario;Devuelto;Autoservicio;12345;0;M. Ross;Central;Kevin Rojas Blanco;NULL;Sistemas de Información Vol. 1;LB00097;BIB0019;0.0;USR000272;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000185;2024-09-11;2024-10-02;;Tecnología;Docente;Devuelto;App móvil;6866326634163;0;A. Solís;Salud;Julio Navarro Araya;Usuario reporta portada dañada;;LB00319;BIB0040;132250.0;USR001383;1;titulo_libro vacío;titulo_libro;TITULO
PRE0000200;2025-10-26;2025-11-02;2025-11-07;Economía;Estudiante;Devuelto;;4983022050209;0;J. Caserta;Central;Paola Calvo Rojas;Renovado una vez;Teoría de la Información Vol. 1;LB00361;BIB0033;1250.0;USR004055;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0000204;2026-01-28;2026-02-11;2026-02-16;Educación;Estudiante;Devuelto;Autoservicio;5877169472256;1;D. Fernández;Humanidades;Paula Mora Vega;Entrega con atraso;Derecho de la Información Vol. 2;LB00312;;1250.0;USR001456;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
