id_prestamo;fecha_prestamo;fecha_vencimiento;fecha_devolucion;id_usuario;tipo_usuario;nombre_usuario;id_libro;isbn;titulo_libro;autor;categoria;sede_biblioteca;estado_prestamo;multa_crc;canal_prestamo;id_bibliotecario;renovaciones;observaciones;cantidad_por_id
PRE0000008;2023-06-15;2023-06-22;          ;USR004786;Estudiante  ;Paula Cordero Alvarado      ;LB00083;0229612018366;Economía Digital Vol. 3                ;C. Vargas       ;Educación ;Occidente        ;En préstamo;0       ;App móvil  ;BIB0039;1              ;                               ;2
PRE0000008;2024-11-04;2024-12-02;2024-12-12;USR003884;Investigador;Andrea Blanco Cordero       ;LB00612;8341465111312;Algoritmos y Estructuras Vol. 3         ;M. Sánchez     ;Arte       ;Atlántico       ;Devuelto    ;2500    ;Autoservicio;BIB0020;0              ;                               ;2
PRE0000009;2023-06-13;2023-06-20;          ;USR002026;Estudiante  ;Roberto Solano Ramírez     ;LB00658;7474721970546;Modelado Dimensional Vol. 1             ;C. Inmon        ;Ciencias   ;Humanidades      ;Atrasado    ;249750  ;En línea   ;BIB0030;3              ;Revisión pendiente            ;2
PRE0000009;2025-10-09;2025-10-23;2025-10-24;USR004461;Estudiante  ;Gabriela Campos Araya       ;LB00538;8227495450892;  Algoritmos y Estructuras Vol. 3       ;D. Fernández   ;Sociología;Ciencias Sociales;Devuelto    ;250     ;En línea   ;BIB0019;2              ;Préstamo interbibliotecario   ;2
PRE0000019;2024-05-17;2024-05-24;          ;USR003451;Estudiante  ;David Rojas Herrera         ;LB00732;6033190368900;Modelado Dimensional Vol. 3             ;P. Ponniah      ;Educación ;Occidente        ;Atrasado    ;165000  ;En línea   ;BIB0035;0              ;                               ;2
PRE0000019;2025-12-14;2025-12-04;2026-01-14;USR000306;Estudiante  ;  Javier Herrera Vega       ;LB00520;1526546103399;Economía Digital Vol. 1                ;D. Fernández   ;Arte       ;Ingenierías     ;Devuelto    ;750     ;En línea   ;BIB0025;1              ;                               ;2
PRE0000023;2023-06-23;2023-06-30;          ;USR001158;Estudiante  ;Lucía Herrera Blanco       ;LB00450;9946579678427;Metodología de la Investigación Vol. 4;M. Sánchez     ;Ingeniería;Ingenierías     ;Atrasado    ;247250  ;Mostrador   ;BIB0019;2              ;Usuario reporta portada dañada;2
PRE0000023;2026-02-05;2026-02-26;2026-03-09;USR000728;Funcionario ;Julio Salazar Aguilar       ;LB00732;6033190368900;Modelado Dimensional Vol. 3             ;P. Ponniah      ;Educación ;Occidente        ;Devuelto    ;2750    ;En línea   ;BIB0002;1              ;                               ;2
PRE0000036;2023-04-09;2023-04-30;2023-04-25;USR002296;Estudiante  ;Natalia Rodríguez Salazar  ;LB00423;5778817884795;Arquitectura de Datos Vol. 1            ;C. Inmon        ;Educación ;Pacífico        ;            ;0       ;App móvil  ;BIB0011;3              ;                               ;2
PRE0000036;2025-07-04;2025-07-11;          ;USR000127;Estudiante  ;Sofía Aguilar Sánchez     ;LB00220;4054115262181;Programación en Python Vol. 4          ;C. Inmon        ;Literatura ;Salud            ;Atrasado    ;61750   ;Autoservicio;BIB0016;1              ;                               ;2
PRE0000038;2024-07-04;2024-07-25;2024-08-04;USR002743;Estudiante  ;Laura Mora Rodríguez       ;LB00151;7393638546785;Análisis Multivariado Vol. 2           ;A. Pérez       ;Ingeniería;Occidente        ;Devuelto    ;2500    ;Autoservicio;BIB0022;1              ;                               ;2
PRE0000038;2025-09-23;2025-10-21;2025-10-22;USR002858;Externo     ;Miguel Jiménez Torres      ;LB00286;6557790827231;Arquitectura de Datos Vol. 4            ;J. Caserta      ;ECONOM�?A  ;Humanidades      ;Devuelto    ;250     ;App móvil  ;BIB0040;1              ;                               ;2
PRE0000050;2023-08-26;2023-09-16;2023-09-16;USR004268;Investigador;José Aguilar Alvarado      ;LB00324;4520881474350;Algoritmos y Estructuras Vol. 2         ;S. Atre         ;Arte       ;Salud            ;Devuelto    ;0       ;En línea   ;BIB0028;1              ;                               ;2
PRE0000050;2025-02-21;2025-03-07;2024-02-30;USR002139;Estudiante  ;Sebastián Murillo Salazar  ;LB00678;4029901557998;Derecho de la Información Vol. 4       ;S. Gómez       ;Ciencias   ;Humanidades      ;Devuelto    ;0       ;Mostrador   ;BIB0012;1              ;                               ;2
PRE0000054;2023-07-24;2023-08-21;2024-02-30;USR000668;Funcionario ;David Quesada Blanco        ;LB00498;5729341722329;Metodología de la Investigación Vol. 4;J. Ramírez     ;Derecho    ;Central          ;En préstamo;0       ;Autoservicio;BIB0005;0              ;Entrega con atraso             ;2
PRE0000054;2025-04-11;2025-04-25;          ;USR004665;Estudiante  ;  María Blanco Valverde    ;LB00411;1958837340312;Diseño de Experimentos Vol. 2          ;A. Pérez       ;tecnologia ;Atlántico       ;pend        ;81000   ;Autoservicio;BIB0040;2              ;Revisión pendiente            ;2
PRE0000076;2024-03-26;2024-03-23;2024-03-30;USR002385;Estudiante  ;Camila Gómez Blanco        ;LB00229;5646799702462;Administración de Proyectos Vol. 1     ;D. Fernández   ;Economía  ;Central          ;Devuelto    ;0       ;App móvil  ;BIB0018;0              ;Revisión pendiente            ;2
PRE0000076;2024-04-24;2024-05-22;2024-06-03;USR004713;Funcionario ;José Araya Murillo         ;LB00047;5240824008427;Aprendizaje Automático Vol. 2          ;D. Fernández   ;Tecnología;Ingenierías     ;Devuelto    ;3000    ;Autoservicio;BIB0034;1              ;Revisión pendiente            ;2
PRE0000078;2023-10-30;2023-11-13;          ;USR001826;Funcionario ;Miguel Vargas Castro        ;LB00242;2175250074329;Investigación de Operaciones Vol. 2    ;C. Vargas       ;Ingeniería;Pacífico        ;Atrasado    ;213250  ;Mostrador   ;BIB0024;2              ;  revisar datos                ;2
PRE0000078;2024-06-15;2024-06-29;2024-07-11;USR003219;Estudiante  ;Roberto Campos Gómez       ;LB00196;0275884252410;Aprendizaje Automático Vol. 1          ;L. Rodríguez   ;Ingeniería;Salud            ;Devuelto    ;3000    ;web         ;BIB0003;0              ;                               ;2
PRE0000097;2023-12-19;2024-01-02;2024-01-13;USR002857;Estudiante  ;David Campos Castro         ;LB00166;2406596575692;Teoría de la Información Vol. 2       ;L. Mora         ;Historia   ;Ingenierías     ;Devuelto    ;2750    ;Autoservicio;BIB0035;3              ;Renovado una vez               ;2
PRE0000097;2024-12-31;2025-01-28;          ;USR000320;Estudiante  ;Rocío Navarro Sánchez     ;LB00112;2786814473947;Diseño de Experimentos Vol. 1          ;R. Kimball      ;Ingeniería;Ingenierías     ;            ;0       ;En línea   ;BIB0025;2              ;Préstamo interbibliotecario   ;2
PRE0000110;2025-07-13;2025-08-03;2025-08-03;USR002839;Estudiante  ;Carlos Ramírez Rodríguez  ;LB00155;2038750997700;Derecho de la Información Vol. 2       ;C. Inmon        ;Ingeniería;Ciencias Sociales;Devuelto    ;0       ;Mostrador   ;BIB0019;0              ;Préstamo interbibliotecario   ;2
PRE0000110;2025-09-20;2025-09-27;          ;USR000500;Estudiante  ;Javier Vargas Jiménez      ;LB00033;8687277434873;Teoría de la Información Vol. 3       ;L. Mora         ;Sociología;Central          ;En préstamo;0       ;Autoservicio;BIB0007;0              ;Entrega con atraso             ;2
PRE0000113;2023-08-13;2023-09-03;2023-09-09;USR004189;Estudiante  ;Alonso Araya Navarro        ;LB00386;6796927868765;Fundamentos de Bibliotecología Vol. 1  ;L. Rodríguez   ;Derecho    ;Occidente        ;Devuelto    ;1500    ;Autoservicio;BIB0006;0              ;Entrega con atraso             ;3
PRE0000113;2025-01-25;2025-02-08;2025-02-18;USR001721;Funcionario ;Miguel Campos Castro        ;LB00075;8421020539502;Introducción a la Estadística Vol. 3  ;L. Rodríguez   ;Ciencias   ;Central          ;Devuelto    ;2500    ;En línea   ;BIB0024;0              ;Entrega con atraso             ;3
PRE0000113;2025-09-18;2025-09-25;          ;USR001155;Funcionario ;Miguel Araya Mora           ;LB00066;4743671369594;Modelado Dimensional Vol. 3             ;J. Ramírez     ;Ingeniería;Salud            ;Atrasado    ;42750   ;App móvil  ;BIB0020;1              ;                               ;3
PRE0000121;2024-07-25;2024-08-08;2024-08-04;USR004000;Estudiante  ;Paula Rodríguez Rodríguez ;LB00423;5778817884795;Arquitectura de Datos Vol. 1            ;C. Inmon        ;Educación ;Ciencias Sociales;Devuelto    ;0       ;Mostrador   ;BIB0015;3              ;Renovado una vez               ;2
PRE0000121;2025-10-16;2025-10-23;2025-10-18;USR002604;Estudiante  ;Daniela Alvarado Castro     ;LB00058;12345        ;Introducción a la Estadística Vol. 4  ;NULL            ;Tecnología;Pacífico        ;Devuelto    ;0       ;En línea   ;BIB0031;2              ;Revisión pendiente            ;2
PRE0000125;2024-04-22;2024-05-13;          ;USR003006;Estudiante  ;Roberto Herrera Rodríguez  ;LB00485;4236103266421;Teoría de la Información Vol. 4       ;C. Inmon        ;Arte       ;Ciencias Sociales;En préstamo;0       ;App móvil  ;BIB0028;1              ;Préstamo interbibliotecario   ;2
PRE0000125;2025-08-07;2025-09-04;2025-09-06;USR003494;Estudiante  ;Miguel Gómez Calvo         ;LB00428;1059274523805;Economía Digital Vol. 2                ;S. Gómez       ;Tecnología;Central          ;Devuelto    ;multa   ;Autoservicio;BIB0009;2              ;Préstamo interbibliotecario   ;2
